video_id,title,description,channel,published,views,likes,comments
ZhDB4rFXlKg,"FULL COVERAGE WITH GLOSSIER PERFECTING SKIN TINT  | Application, Swatches + Review | Brown Skin","Get 10% off GLOSSIER: https://re.glossier.com/44973d7 Hey hey, in today's video I'm showing you how I made Glossier ...",ELMA_GNT,2020-11-02T04:59:17Z,993,21.0,9.0
2CYKlydjZrk,A &quot;No Makeup&quot; Makeup Look feat Glossier Skin Tint New Shades | #EniGivenSunday,INSTAGRAM: https://www.instagram.com/enigivensun... BLOG: https://enigivensunday.com/ PRODUCTS MENTIONED: Sunday ...,Eni Popoola (EniGivenSunday),2019-02-25T11:45:00Z,7555,242.0,11.0
P3tX_jHdRbg,Glossier Perfecting Skin Tint and Stretch Concealer Duo review | No makeup look,Products used: Glossier Perfecting Skin Tint - https://rstyle.me/+5KeJCu4mhtJKNGPndsFOFg Glossier Stretch Concealer ...,Imani Nuhu,2020-09-05T20:06:35Z,565,28.0,0.0
WbSVu0Zmj7w,Glossier skin tint || does it give any coverage??! | shade G9 #swatches,Glossier skin tint || does it give any coverage??! | shade G9 #swatches #elf #elfcosmetics #makeuplover #makeup #swatches ...,Curly Mon🎀,2024-07-30T10:05:04Z,4217,56.0,3.0
PW3r0ar295E,Glossier Full Face Review | Glossier Skin Tint G6 Review,"Hey everyone! See how Glossier can turn dull, dry skin into dewy, glow-from-within skin that looks naturally flawless with no need ...",Candace Howze,2020-05-27T14:05:14Z,1567,39.0,4.0
FT3Uw9W-reg,Glossier Skin Tint | Foundation Friday!,Glossier #FoundationFriday ♡ OPEN ME ♡ What did you think? I really loved this foundation and future dew!! Check out glossier: ...,K E S H I A E A S T,2019-11-29T18:25:05Z,9803,138.0,14.0
TZ4AJMAgmts,Glossier Tutorial + Review for Glowing Skin!,Shop Glossier products here: https://www.glossier.com/ Mentioned: - Stila One Step Correct (primer) - Glossier Perfecting Skin Tint ...,Taylor Morello,2017-10-04T04:17:05Z,1852,43.0,5.0
0_SlKvvyONY,Glossier skin tint + Wowder review. Does it work on brown skin??,"I do a lot of talking at the beginning, just skip to the tutorial, or not! Lol.",Kelsie J,2019-08-05T18:18:27Z,1265,62.0,5.0
0nYG08tBA8M,Glossier Perfecting Skin Tint Review with Bree Chamberlain,Buy Glossier Perfecting Skin Tint here: ...,The Desire Company,2021-08-02T18:52:31Z,221,0.0,0.0
KJvwOEvHfYU,NEW GLOSSIER SKIN TINT + STRETCH CONCEALER SWATCHES | Glossier Full Face + GIVEAWAY!,"This giveaway is in no way affiliated with Glossier. This is just how I want to thank my subscribers.*** I'M BACK! OMG, you guys.",Kackie Reviews Beauty,2019-02-04T14:00:03Z,14979,426.0,182.0
