video_id,title,description,channel,published,views,likes,comments
l4KxSVTAIdA,[𝐂𝐔𝐒𝐇𝐈𝐎𝐍 𝐕𝐒 𝐋𝐈𝐐𝐔𝐈𝐃]  Etude House Double Lasting Foundation,PARK BOM IS BACK AND SHE LOOKS ***??!! --~-- Hey Yall! Hope you have found this review and comparison video useful as ...,Pluufuy Keke,2018-09-15T12:30:01Z,15950,161.0,9.0
LCYPPvKxBjw,First Impressions Etude House Double Lasting Foundation,I got a sample of Etude House Double Lasting Foundation. The color that matched me the best is Fair. I'm wearing on my face and ...,Jacklyn of all trades,2017-02-10T23:37:02Z,74,0.0,0.0
vLBvaDsp5d0,Is it really good? Etude Double Lasting Vegan Cover Foundation 🌿,shorts #etude new vegan #foundation ! Do you guys like Etude's base products? This is a new VEGAN foundation from Etude!,JOOHKY,2023-02-09T01:00:18Z,5748,106.0,6.0
Sjn053Usi_s,Etude House Double Lasting Foundation,"Hey everyone! If you enjoyed this video, please LIKE and SUBSCRIBE! Follow me on Social! Instagram @LaurenLex TikTok ...",Lauren Lex,2025-02-02T17:00:35Z,859,31.0,0.0
T-Ow6_Nz-rA,ETUDE HOUSE DOUBLE LASTING SERUM FOUNDATION FIRST IMPRESSION &amp; REVIEW,EtudeMalaysia #Etudehousedoublelastingserumfoundation #Etudehouse Salam honey bees. today i tried a korean makeup ...,Arena Ahmad,2020-07-22T13:00:09Z,3226,31.0,8.0
e2OnftwmCiQ,"🦄💄Etude Double Lasting Foundation Review💄🦄 - K-beauty foundation recommendation, Wear test",Today I tried out the new version of the Etude Double Lasting Foundation. I really recommend this product because it lasts for a ...,Yuni Korn,2020-06-03T22:06:13Z,6897,106.0,20.0
HDfZDWslUFQ,Etude House Double Lasting Foundation WEAR TEST! | Philippines,CORRECTION: my 2nd time to blot *** Hey guys! T's time for another foundation review! Do forgive the chicken sauce that's all ...,livecreatelaugh,2017-12-09T09:53:23Z,9330,39.0,18.0
UTimOklfLxc,Part.2 🌿 Etude Double Lasting Vegan Foundation face swatch 🌿,shorts Part.2 of #etude double lasting #vegan foundation! All shades face swatch ☺️ Check out the FULL VIDEO on our channel.,JOOHKY,2023-02-13T01:00:09Z,13757,233.0,2.0
d3AXJL6X5QY,[TESTERKOREA] ETUDE HOUSE Double Lasting Serum Foundation SPF25 PA++ 30ml,ETUDE HOUSE Double Lasting Serum Foundation SPF25 PA++ 30ml ☆GET THE PRODUCT//DETAIL INFO HERE▽ ...,TesterKorea,2018-10-12T09:10:17Z,16325,284.0,9.0
-dKTE_oh6xo,[TESTERKOREA] ETUDE HOUSE Double Lasting Foundation,ETUDE HOUSE Double Lasting Foundation SPF34 PA++ 30ml ...,TesterKorea,2016-10-07T08:36:21Z,8287,56.0,1.0
