video_id,title,description,channel,published,views,likes,comments
D7vaA5m4Yno,Trying out popular Korean skincare brand  #skincare #skincareproducts #koreanskincare,Here's a basic tutorial on how to use Sulwhasoo skincare products: Cleansing: Start with a clean slate. Use a gentle cleanser to ...,justKMT 💗,2024-04-30T18:01:00Z,497,12.0,2.0
AF9snbAg-2w,🌟 Discovering the Magic of Sulwhasoo Ginseng Cream 🌿💫,"Why I Love It:Luxurious Formula - Rich in high-quality ginseng extracts, perfect for revitalizing skin.Anti-Aging Powerhouse - Fights ...",__emmascosmetics,2024-01-15T03:40:47Z,443,2.0,0.0
-mHvhsPjRec,Sulwhasoo Concentrated Ginseng Renewing Serum 50ml by Luxiface.com,The heavy-lifters in this concentrated formula is Compound K extracted from Korean red ginseng to minimize the appearance of ...,Luxiface,2023-03-01T17:59:44Z,159,3.0,0.0
88NZ96Svc0o,Sulwhasoo Gentle Cleansing Foam: Nutrient-rich Lather for Skin Comforting Pore Cleansing,Sulwhasoo Gentle Cleansing Foam: Nutrient-rich Lather for Skin Comforting Pore Cleansing Amazon Product Link: ...,Wasai Sareedek,2023-02-20T20:17:59Z,48,0.0,0.0
m33-IiSDGzM,🏆 My Skincare Top 10 🏆 #shorts,Why did this take me days to narrow down ⁣⁣ ⁣#Sulwhasoo First Care Activating Serum ⁣#Somebymi AHA BHA PHA Miracle ...,Annie Wang Tamaki,2024-03-01T15:00:50Z,5341,119.0,4.0
fwHfOwSsxSM,"𝗪𝗵𝗮𝘁 𝗜 𝗡𝗲𝗲𝗱 𝗶𝘀, &quot;𝗚𝗨𝗔 𝗦𝗛𝗔&quot;","Sparkle More, Spend Less. K-Beauty Wonderland DODOSKIN   - Discover the ancient ...",DODOSKIN,2024-02-21T18:00:21Z,89,4.0,0.0
mn5XXWPE9tA,Serums + Creams,Shop bestselling serums and creams by Sulwhasoo! https://us.sulwhasoo.com/,Sulwhasoo US,2022-01-24T20:03:17Z,1203,14.0,0.0
utV4q2OEToI,Spending over $1000 on Sephora skincare! 💸 Was it worth it??? (pt 2),"Rowena's back, and she's got a lot to say about her current products! In part two of her Hyped Sephora Skincare picks series, ...",Beauty Within,2022-06-22T19:00:11Z,45713,1307.0,54.0
nWg4pk2rHvo,Benefits of Concentrated Ginseng Renewing Serum,Experience improved skin resilience and secure firmness through the skin renewing power of Ginsenomics™. ✨ Improves Skin ...,Sulwhasoo Malaysia,2021-01-20T06:47:33Z,290,,
NSd8ubq3kEw,Better Skin Every Day with First Care Activating Serum | Cooling Pad Care,Watch and discover how to DIY your very own cooling pad with only 2 items. You'll need: 1. First Care Activating Serum 2. Regular ...,Sulwhasoo Malaysia,2020-06-05T08:09:24Z,89,1.0,0.0
