video_id,title,description,channel,published,views,likes,comments
QxTlMn7RJ0U,Rihanna&#39;s Fall Makeup Must Have: Fenty Beauty&#39;s Soft&#39;Lit Naturally Luminous Longwear Foundation,"Summer may be over, but #Rihanna is reminding y'all to stay hydrated this #fall and #winter aka “ashy season.",Fenty Beauty By Rihanna,2024-09-10T21:07:39Z,204244,3206,175
JpLi-rVsa14,FULL FACE OF FENTY BEAUTY 😍💋,,Meredith Duxbury,2023-03-25T21:08:17Z,734192,66068,303
QZOMNYuV6MM,Fenty beauty gloss bomb stix 🤩 which ones your favorite??,,Slaybyjess,2024-07-15T23:17:35Z,233671,7806,89
krKtBF_muhY,Do the NEW fenty beauty shimmer gloss b0mb stix ACTUALLY live up to the hype⁉️,Do the NEW fenty beauty shimmer gloss b0mb stix ACTUALLY live up to the hype⁉️ ​⁠​⁠@fentybeauty ...,Monica Ravichandran,2025-03-31T15:55:36Z,895967,54436,348
PVBe6eKCxOc,THIS LIPGLOSS!!! FENTY BEAUTY GLOSS BOMB SWIRL!!!,,Morgan Turner,2024-10-10T16:00:25Z,58466,3185,51
lnIJwhAb0DE,Fenty Beauty / Fenty Skin ASMR ✨,,Amber Marie ,2024-07-25T13:27:45Z,336549,20538,59
zivai_uv7Hs,Eaze Drop&#39;lit All-Over Glow Enhancer | Fenty Beauty,"Ya'll ready for that skincare-makeup REMIX?! Meet #EAZEDROPLIT, All- Over Glow Enhancer! ✨ Rihanna is snatching an eaze-y ...",Fenty Beauty By Rihanna,2022-08-19T20:39:24Z,77100,2121,63
M-VplQ_iOxI,Rihanna trying Fenty Skin’s NEW Hydra Vizor Huez in store at Sephora 🤩 tinted moisturizer + SPF 30,,Fenty Beauty By Rihanna,2024-05-26T21:49:00Z,192109,7867,101
4LwpGaDKmZ8,FENTY BEAUTY by RIHANNA... Is It Jeffree Star Approved?!,HEY EVERYONE! Today I'm doing a review and first impressions on Rihanna's new makeup line FENTY BEAUTY! Last night I got ...,jeffreestar,2017-09-08T21:50:21Z,13370519,322283,19902
kwh27qsQIQI,The viral fenty gloss bomb in fuschia flex 😍 #lipcombo #fenty #trendingmakeup,,Ashley Quiroz,2024-04-23T18:47:20Z,825404,80237,541
wkr8MSxmcC4,New Fenty Beauty Products GRWM,,The Santa Maria,2025-04-27T23:12:41Z,5784,560,65
mzOy5MDGQbo,Meet Fenty Hair By Rihanna | FENTY BEAUTY,"Fenty Hair has moved in, and they want to welcome y'all to Mane Street - where every home is a house of style. It's the smoothest ...",Fenty Beauty By Rihanna,2024-06-04T16:07:02Z,287678,11616,991
qc3Hald5GpA,FULL FACE OF FENTY BEAUTY,Full face of @fentybeauty using The Edit: Fenty. Exclusively available at @ipsy . Thank you IPSY for sponsoring this video.,MissDarcei,2024-07-04T00:10:15Z,1329756,122438,633
tsk58pVesUU,Full Face of Fenty for our 400 beauties with @princess.kaae_ 🤎,Our boo Katrina Duckett is showin y'all what that #FENTYFACE do! #PROFILTRFOUNDATION in shade 440 is THAT GIRL ...,Fenty Beauty By Rihanna,2022-09-14T19:01:42Z,67457,4826,73
xCx4JV9mOYE,"This NEW and exclusive Gloss Bomb with special Rhenna cap, will only be available at our pop-up 😍",,Fenty Beauty By Rihanna,2025-05-01T00:31:36Z,31399,1800,48
